# FDQN-TE+ Energy per Round
Round,Time_s,AliveNodes,DeadNodes,EnergyMean_J,EnergyStdDev_J,EnergyMin_J,EnergyMax_J,TotalDrained_J,PDR_pct,FND_t,HND_t,RLSteps,FedRound,IFORound,AtRiskPEPM
1,50.0,300,0,1.900646,0.125166,1.314692,1.961244,29.8061,0.0000,0.0,0.0,3000,60,1,0
2,100.0,300,0,1.801058,0.249941,0.629383,1.916620,59.6826,0.0000,0.0,0.0,6000,120,2,0
3,150.0,300,0,1.696863,0.277360,0.561418,1.870809,90.9412,0.0000,0.0,0.0,9000,180,2,0
4,200.0,300,0,1.592311,0.364060,0.174864,1.838333,122.3068,0.0000,0.0,0.0,12000,240,3,0
5,250.0,300,0,1.480007,0.381214,0.124340,1.802599,155.9979,0.0000,0.0,0.0,15000,300,3,1
6,300.0,295,5,1.392659,0.428123,0.010000,1.764870,189.1656,0.0000,292.0,0.0,17997,359,4,8
7,350.0,294,6,1.276094,0.437344,0.001708,1.728596,224.8284,0.0000,292.0,0.0,20939,418,4,10
8,400.0,282,18,1.218776,0.448817,0.015255,1.698854,256.3051,0.0000,292.0,0.0,23834,476,5,27
9,450.0,279,21,1.086382,0.449556,0.002564,1.616601,296.8993,0.0000,292.0,0.0,26647,532,5,36
10,500.0,263,37,1.034330,0.456380,0.000369,1.577524,327.9711,0.0000,292.0,0.0,29368,587,6,57
11,550.0,251,49,0.920995,0.435810,0.024796,1.530038,368.8303,0.0000,292.0,0.0,31948,638,6,70
12,600.0,226,74,0.909197,0.417831,0.009436,1.475899,394.5216,0.0000,292.0,0.0,34362,687,7,96
13,650.0,212,88,0.781783,0.398543,0.001102,1.422722,434.2621,0.0000,292.0,0.0,36593,731,7,110
14,700.0,184,116,0.796847,0.357930,0.003259,1.347067,453.3802,0.0000,292.0,0.0,38566,771,8,136
15,750.0,172,128,0.690421,0.343111,0.017636,1.320415,481.2477,0.0000,292.0,0.0,40366,807,8,147
16,800.0,157,143,0.659461,0.327850,0.001903,1.291473,496.4646,0.0000,292.0,0.0,41996,839,9,165
17,850.0,135,165,0.597889,0.289649,0.029778,1.264821,519.2850,0.0000,292.0,832.0,43496,869,10,185
18,900.0,122,178,0.509455,0.276813,0.003668,1.238169,537.8465,0.0000,292.0,832.0,44817,896,11,201
19,950.0,107,193,0.440530,0.260329,0.007080,1.093805,552.8632,0.0000,292.0,832.0,45998,919,11,221
