# FDQN-TE+ Topology Export | final
NodeId,X,Y,ClusterId,IsClusterHead,Energy,EnergyNorm,DistToSink,PEPMRisk,IsAlive,TxCount,ReclusterCount,Fitness
0,884.16,393.29,0,0,0.000000,0.0000,398.70,0.9268,0,116,0,0.7432
1,166.90,110.61,0,0,0.000000,0.0000,512.42,0.8134,0,92,0,0.7834
2,302.58,411.06,34,0,0.000000,0.0000,216.53,0.9893,0,188,0,0.4359
3,375.86,578.08,3,1,0.144732,0.0724,146.65,0.7675,1,200,0,0.5671
4,181.19,213.28,56,0,0.391607,0.1958,428.78,0.4405,1,200,0,0.4184
5,86.25,276.32,0,0,0.000000,0.0000,470.34,0.9305,0,152,0,0.6479
6,725.79,228.69,0,0,0.000000,0.0000,352.97,0.9976,0,90,0,0.4044
7,852.51,703.45,0,0,0.000000,0.0000,407.01,0.9094,0,98,0,0.7791
8,173.41,221.53,56,0,0.570591,0.2853,429.20,0.1861,1,200,0,0.4706
9,934.28,760.56,0,0,0.000000,0.0000,506.45,0.8565,0,113,0,0.7393
10,582.55,878.12,0,0,0.000000,0.0000,387.03,0.9181,0,100,0,0.7928
11,579.66,131.16,34,0,0.479122,0.2396,377.35,0.3063,1,200,0,0.4696
12,416.80,353.52,34,0,0.177635,0.0888,168.46,0.7351,1,200,0,0.4999
13,781.97,63.13,0,0,0.000000,0.0000,519.96,0.8452,0,131,0,0.7048
14,414.26,228.36,0,0,0.000000,0.0000,284.85,0.9971,0,166,0,0.4145
15,895.39,594.08,0,0,0.000000,0.0000,406.43,0.9982,0,136,0,0.7070
16,411.64,239.77,0,0,0.000000,0.0000,274.83,0.9960,0,177,0,0.4228
17,668.97,148.67,0,0,0.000000,0.0000,389.85,0.9919,0,136,0,0.3995
18,991.59,744.26,35,0,0.813859,0.4069,548.93,0.1267,1,200,0,0.4530
19,252.03,85.42,0,0,0.000000,0.0000,483.08,0.8652,0,133,0,0.7070
20,69.57,997.26,177,0,1.024417,0.5122,657.68,0.1040,1,200,0,0.4543
21,722.81,133.28,0,0,0.000000,0.0000,429.10,0.9180,0,133,0,0.7110
22,802.07,73.93,0,0,0.000000,0.0000,522.28,0.9385,0,94,0,0.7887
23,486.43,987.76,0,0,0.000000,0.0000,487.95,0.8856,0,113,0,0.7567
24,920.83,987.94,0,0,0.000000,0.0000,644.35,0.9821,0,148,0,0.6659
25,320.38,332.64,0,0,0.000000,0.0000,245.51,0.9932,0,176,0,0.4203
26,768.57,441.02,0,0,0.000000,0.0000,274.97,0.9984,0,135,0,0.4158
27,985.07,646.22,35,0,0.534711,0.2674,506.63,0.2325,1,200,0,0.3923
28,357.06,823.21,28,1,0.000000,0.0000,353.40,0.9447,0,190,0,0.4895
29,97.10,873.83,0,0,0.000000,0.0000,549.61,0.8495,0,149,0,0.6635
30,917.99,899.88,0,0,0.000000,0.0000,578.46,0.9522,0,168,0,0.5672
31,802.95,345.05,0,0,0.000000,0.0000,340.27,0.9995,0,101,0,0.3871
32,548.75,771.60,0,0,0.000000,0.0000,275.95,0.9982,0,153,0,0.4238
33,841.48,186.52,158,0,0.504047,0.2520,463.55,0.2731,1,200,0,0.4400
34,411.75,320.78,34,1,0.000000,0.0000,199.77,0.9941,0,190,0,0.5092
35,495.96,520.45,35,1,0.338220,0.1691,20.85,0.4928,1,200,0,0.6342
36,741.25,592.79,0,0,0.000000,0.0000,258.48,0.9963,0,142,0,0.3522
37,521.19,848.70,0,0,0.000000,0.0000,349.34,0.9802,0,119,0,0.7611
38,983.54,349.94,0,0,0.000000,0.0000,506.29,0.9269,0,178,0,0.5229
39,239.51,417.78,0,0,0.000000,0.0000,273.15,0.9992,0,149,0,0.4224
40,85.23,524.65,103,0,0.000000,0.0000,415.50,0.9948,0,181,0,0.3168
41,678.12,638.72,72,0,0.017298,0.0086,225.77,0.9620,1,200,0,0.3593
42,661.51,231.58,273,0,0.000000,0.0000,313.26,0.9941,0,190,0,0.3513
43,780.04,767.84,0,0,0.000000,0.0000,387.50,0.8837,0,116,0,0.7387
44,543.04,777.60,0,0,0.000000,0.0000,280.91,0.9879,0,167,0,0.4211
45,517.07,328.62,273,0,0.112645,0.0563,172.23,0.8254,1,200,0,0.4766
46,176.12,369.78,0,0,0.000000,0.0000,349.08,0.9964,0,91,0,0.4143
47,391.23,796.51,0,0,0.000000,0.0000,315.83,0.9889,0,150,0,0.4072
48,640.48,857.39,0,0,0.000000,0.0000,384.01,0.9912,0,62,0,0.3933
49,732.27,130.51,0,0,0.000000,0.0000,436.43,0.9947,0,116,0,0.7563
50,310.94,878.39,0,0,0.000000,0.0000,422.99,0.9796,0,134,0,0.6994
51,484.55,788.85,0,0,0.000000,0.0000,289.26,0.9988,0,146,0,0.4113
52,457.92,905.44,0,0,0.000000,0.0000,407.62,0.8807,0,96,0,0.7834
