# FDQN-TE+ Comparison Metrics (vs Article) - Énergie en Joules
# Tables: 3 (Energy), 4 (Lifetime), 5 (PDR), 6 (Delay), 7-8 (Alive/Dead Nodes)

[SUMMARY]
Metric,Value,Unit
FND (First Node Death),1702,s
HND (Half Node Death),2642,s
LND (90% Node Death),0,s
Total Rounds,59,rounds
Average PDR RL,99.1635,%
Average PDR NS-3,100,%
Average End-to-End Delay,4.7749,ms
Total Energy Consumed,352.917,J

[TABLE_3_ENERGY_CONSUMPTION_J]
Round,EnergyConsumed_J
50,6.405478
100.000000,12.782477
150.000000,19.119161
200.000000,25.469506
250.000000,31.914222
300.000000,38.347035
350.000000,44.850787
400.000000,51.332707
450.000000,57.817678
500.000000,64.291518
550.000000,70.719280
600.000000,77.154401
650.000000,83.863386
700.000000,90.572910
750.000000,97.311350
800.000000,104.065751
850.000000,111.003863
900.000000,117.953982
950.000000,124.562243
1000.000000,131.179042
1050.000000,137.877785
1100.000000,144.591644
1150.000000,151.788787
1200.000000,158.978721
1250.000000,166.144273
1300.000000,173.292581
1350.000000,180.544868
1400.000000,187.793956
1450.000000,194.998302
1500.000000,202.239428
1550.000000,209.902710
1600.000000,217.575589
1650.000000,224.728149
1700.000000,231.883900
1750.000000,239.215640
1800.000000,246.535468
1850.000000,253.654183
1900.000000,260.743270
1950.000000,267.445271
2000.000000,274.127610
2050.000000,280.880500
2100.000000,287.343672
2150.000000,293.654490
2200.000000,299.646625
2250.000000,305.651172
2300.000000,311.292312
2350.000000,316.741797
2400.000000,321.455984
2450.000000,326.505499
2500.000000,330.660539
2550.000000,334.604843
2600.000000,337.688366
2650.000000,340.944335
2700.000000,343.311991
2750.000000,345.503074
2800.000000,347.340825
2850.000000,349.169670
2900.000000,350.442260
2950.000000,352.038904

[TABLE_4_NETWORK_LIFETIME]
Round,AliveNodes,DeadNodes,Time_s
50.000000,300,0,50.000000
100.000000,300,0,100.000000
150.000000,300,0,150.000000
200.000000,300,0,200.000000
250.000000,300,0,250.000000
300.000000,300,0,300.000000
350.000000,300,0,350.000000
400.000000,300,0,400.000000
450.000000,300,0,450.000000
500.000000,300,0,500.000000
550.000000,300,0,550.000000
600.000000,300,0,600.000000
650.000000,300,0,650.000000
700.000000,300,0,700.000000
750.000000,300,0,750.000000
800.000000,300,0,800.000000
850.000000,300,0,850.000000
900.000000,300,0,900.000000
950.000000,300,0,950.000000
1000.000000,300,0,1000.000000
1050.000000,300,0,1050.000000
1100.000000,300,0,1100.000000
1150.000000,300,0,1150.000000
1200.000000,300,0,1200.000000
1250.000000,300,0,1250.000000
1300.000000,300,0,1300.000000
1350.000000,300,0,1350.000000
1400.000000,300,0,1400.000000
1450.000000,300,0,1450.000000
1500.000000,300,0,1500.000000
1550.000000,300,0,1550.000000
1600.000000,300,0,1600.000000
1650.000000,300,0,1650.000000
1700.000000,300,0,1700.000000
1750.000000,299,1,1750.000000
1800.000000,296,4,1800.000000
1850.000000,295,5,1850.000000
1900.000000,292,8,1900.000000
1950.000000,289,11,1950.000000
2000.000000,286,14,2000.000000
2050.000000,283,17,2050.000000
2100.000000,276,24,2100.000000
2150.000000,273,27,2150.000000
2200.000000,267,33,2200.000000
2250.000000,262,38,2250.000000
2300.000000,252,48,2300.000000
2350.000000,238,62,2350.000000
2400.000000,222,78,2400.000000
2450.000000,212,88,2450.000000
2500.000000,192,108,2500.000000
2550.000000,178,122,2550.000000
2600.000000,161,139,2600.000000
2650.000000,142,158,2650.000000
2700.000000,131,169,2700.000000
2750.000000,119,181,2750.000000
2800.000000,103,197,2800.000000
2850.000000,88,212,2850.000000
2900.000000,79,221,2900.000000
2950.000000,67,233,2950.000000

[TABLE_5_PDR_PERCENT]
Round,PDR_RL_pct,PDR_NS3_pct
50.000000,100.00,100.00
100.00,100.00,100.00
150.00,99.93,100.00
200.00,99.92,100.00
250.00,99.88,100.00
300.00,99.86,100.00
350.00,99.84,100.00
