# FDQN-TE+ Energy per Round
# Units: Energy=J, Time=s, Delay=ms, PDR=%, PEPM_risk=[0,1]
Round,Time_s,AliveNodes,DeadNodes,EnergyMean_J,EnergyStdDev_J,EnergyMin_J,EnergyMax_J,TotalDrained_J,PDR_RL_pct,PDR_RL_round_pct,PDR_NS3_pct,AvgDelay_ms,AtRiskPEPM,PEPMRiskMean,FND_s,HND_s,LND_s,RLSteps,FedRound,IFORound,NClusters,RL_PktEmitted,RL_PktDelivered,TotalEnergy_J
1,50.0,300,0,1.178872,0.025004,1.062538,1.195937,6.3385,100.00,100.00,100.00,4.85,0,0.0031,0.0,0.0,0.0,3000,60,1,23,3000,3000,353.6615
2,100.0,300,0,1.157721,0.049965,0.926277,1.191874,12.6838,100.00,100.00,100.00,4.85,0,0.0044,0.0,0.0,0.0,6000,120,2,24,6000,6000,347.3162
3,150.0,300,0,1.136381,0.051828,0.919591,1.186916,19.0856,99.92,99.77,100.00,4.85,0,0.0056,0.0,0.0,0.0,9000,180,2,24,9000,8993,340.9144
4,200.0,300,0,1.114981,0.065521,0.863000,1.182702,25.5058,99.89,99.80,100.00,4.85,0,0.0075,0.0,0.0,0.0,12000,240,3,23,12000,11987,334.4942
5,250.0,300,0,1.093489,0.066668,0.856637,1.174685,31.9532,99.71,99.00,100.00,4.85,0,0.0093,0.0,0.0,0.0,15000,300,3,23,15000,14957,328.0468
6,300.0,300,0,1.072040,0.083776,0.664366,1.169112,38.3879,99.58,98.93,100.00,4.85,0,0.0139,0.0,0.0,0.0,18000,360,4,24,18000,17925,321.6121
7,350.0,300,0,1.049298,0.083551,0.660021,1.159572,45.2106,99.53,99.23,100.00,4.85,0,0.0173,0.0,0.0,0.0,21000,420,4,24,21000,20902,314.7894
8,400.0,300,0,1.026629,0.102130,0.401021,1.155206,52.0113,99.50,99.23,100.00,4.85,1,0.0264,0.0,0.0,0.0,24000,480,5,24,24000,23879,307.9887
9,450.0,300,0,1.004870,0.097919,0.389972,1.141805,58.5391,99.44,99.00,100.00,4.85,1,0.0308,0.0,0.0,0.0,27000,540,5,24,27000,26849,301.4609
10,500.0,300,0,0.983148,0.107523,0.380217,1.135832,65.0557,99.42,99.20,100.00,4.76,1,0.0392,0.0,0.0,0.0,30000,600,6,23,30000,29825,294.9443
11,550.0,300,0,0.959840,0.104261,0.369346,1.130959,72.0479,99.43,99.60,100.00,4.76,1,0.0460,0.0,0.0,0.0,33000,660,6,23,33000,32813,287.9521
12,600.0,300,0,0.936590,0.118046,0.359917,1.126745,79.0230,99.46,99.77,100.00,4.76,3,0.0617,0.0,0.0,0.0,36000,720,7,24,36000,35806,280.9770
13,650.0,300,0,0.912762,0.113356,0.348223,1.102661,86.1714,99.47,99.63,100.00,4.76,5,0.0720,0.0,0.0,0.0,39000,780,7,24,39000,38795,273.8286
14,700.0,300,0,0.888913,0.127101,0.336984,1.098481,93.3261,99.48,99.57,100.00,4.76,10,0.0935,0.0,0.0,0.0,42000,840,8,23,42000,41782,266.6739
15,750.0,300,0,0.864368,0.122877,0.328702,1.086692,100.6895,99.40,98.20,100.00,4.76,13,0.1084,0.0,0.0,0.0,45000,900,8,23,45000,44728,259.3105
16,800.0,300,0,0.839825,0.138126,0.265312,1.082637,108.0524,99.32,98.23,100.00,4.76,21,0.1377,0.0,0.0,0.0,48000,960,9,24,48000,47675,251.9476
17,850.0,300,0,0.812799,0.132160,0.257708,1.009899,116.1604,99.33,99.50,100.00,4.76,25,0.1591,0.0,0.0,0.0,51000,1020,9,24,51000,50660,243.8396
18,900.0,300,0,0.785724,0.149595,0.215298,1.005821,124.2829,99.34,99.50,100.00,4.76,38,0.1986,0.0,0.0,0.0,54000,1080,10,23,54000,53645,235.7171
19,950.0,300,0,0.759370,0.143962,0.205803,0.987632,132.1891,99.30,98.53,100.00,4.76,41,0.2264,0.0,0.0,0.0,57000,1140,10,23,57000,56601,227.8109
20,1000.0,300,0,0.733215,0.155964,0.196308,0.980874,140.0356,99.24,98.10,100.00,4.76,58,0.2686,0.0,0.0,0.0,60000,1200,11,23,60000,59544,219.9644
21,1050.0,300,0,0.707543,0.149251,0.187652,0.952008,147.7372,99.23,98.93,100.00,4.76,69,0.3014,0.0,0.0,0.0,63000,1260,11,23,63000,62512,212.2628
22,1100.0,300,0,0.682088,0.159292,0.178996,0.946795,155.3735,99.22,99.07,100.00,4.76,87,0.3458,0.0,0.0,0.0,66000,1320,12,24,66000,65484,204.6265
23,1150.0,300,0,0.654563,0.151854,0.168168,0.939455,163.6311,99.22,99.20,100.00,4.76,99,0.3873,0.0,0.0,0.0,69000,1380,12,24,69000,68460,196.3689
24,1200.0,300,0,0.628183,0.155736,0.157340,0.932114,171.5450,99.20,98.83,100.00,4.76,123,0.4365,0.0,0.0,0.0,72000,1440,13,24,72000,71425,188.4550
25,1250.0,300,0,0.602431,0.148181,0.147349,0.921707,179.2707,99.22,99.73,100.00,4.76,138,0.4807,0.0,0.0,0.0,75000,1500,13,24,75000,74417,180.7293
26,1300.0,300,0,0.577593,0.147778,0.137359,0.917444,186.7220,99.24,99.73,100.00,4.76,170,0.5293,0.0,0.0,0.0,78000,1560,14,24,78000,77409,173.2780
27,1350.0,300,0,0.551397,0.139945,0.123932,0.907004,194.5808,99.24,99.13,100.00,4.76,183,0.5779,0.0,0.0,0.0,81000,1620,14,24,81000,80383,165.4192
28,1400.0,300,0,0.526708,0.139820,0.111680,0.901813,201.9876,99.25,99.43,100.00,4.76,207,0.6262,0.0,0.0,0.0,84000,1680,15,24,84000,83366,158.0124
29,1450.0,300,0,0.503937,0.134300,0.099852,0.886659,208.8190,99.22,98.57,100.00,4.76,230,0.6674,0.0,0.0,0.0,87000,1740,15,24,87000,86323,151.1810
30,1500.0,300,0,0.482005,0.134434,0.088620,0.882275,215.3986,99.24,99.77,100.00,4.76,246,0.7052,0.0,0.0,0.0,90000,1800,16,23,90000,89316,144.6014
31,1550.0,300,0,0.459884,0.130048,0.075001,0.803966,222.0347,99.26,99.90,100.00,4.76,257,0.7415,0.0,0.0,0.0,93000,1860,16,23,93000,92313,137.9653
32,1600.0,300,0,0.438197,0.128045,0.061383,0.776078,228.5408,99.28,99.73,100.00,4.76,269,0.7751,0.0,0.0,0.0,96000,1920,17,24,96000,95305,131.4592
33,1650.0,300,0,0.416790,0.126399,0.045974,0.737016,234.9629,99.29,99.80,100.00,4.76,276,0.8046,0.0,0.0,0.0,99000,1980,17,24,99000,98299,125.0371
34,1700.0,300,0,0.396021,0.125435,0.030566,0.732325,241.1937,99.30,99.40,100.00,4.76,283,0.8305,0.0,0.0,0.0,102000,2040,18,24,102000,101281,118.8063
35,1750.0,300,0,0.374302,0.124398,0.014561,0.723376,247.7094,99.32,100.00,100.00,4.76,289,0.8547,0.0,0.0,0.0,105000,2100,18,24,105000,104281,112.2906
36,1800.0,299,1,0.354118,0.122359,0.005425,0.689962,254.1187,99.32,99.43,100.00,4.76,292,0.8752,1797.0,0.0,0.0,108000,2160,19,24,108000,107264,105.8813
37,1850.0,297,3,0.334575,0.118158,0.022885,0.680249,260.6312,99.34,99.93,100.00,4.76,291,0.8939,1797.0,0.0,0.0,110984,2219,19,24,110984,110246,99.3688
38,1900.0,297,3,0.313313,0.116949,0.003316,0.675703,266.9459,99.35,99.90,100.00,4.76,293,0.9107,1797.0,0.0,0.0,113954,2279,20,24,113954,113213,93.0541
39,1950.0,296,4,0.291929,0.115549,0.027261,0.666784,273.5891,99.36,99.66,100.00,4.76,292,0.9249,1797.0,0.0,0.0,116917,2338,20,24,116917,116166,86.4109
40,2000.0,296,4,0.270870,0.115858,0.010919,0.662006,279.8226,99.36,99.63,100.00,4.76,293,0.9362,1797.0,0.0,0.0,119877,2397,21,23,119877,119115,80.1774
41,2050.0,294,6,0.250065,0.114206,0.015867,0.649577,286.4808,99.37,99.63,100.00,4.76,292,0.9463,1797.0,0.0,0.0,122832,2456,21,23,122832,122059,73.5192
42,2100.0,292,8,0.230056,0.112997,0.003673,0.587783,292.8237,99.36,98.77,100.00,4.76,292,0.9551,1797.0,0.0,0.0,125769,2515,22,24,125769,124960,67.1763
43,2150.0,288,12,0.210614,0.110789,0.003345,0.575292,299.3432,99.34,98.72,100.00,4.76,288,0.9623,1797.0,0.0,0.0,128669,2573,22,24,128669,127823,60.6568
44,2200.0,279,21,0.195741,0.106320,0.002840,0.550451,305.3884,99.25,95.06,100.00,4.76,279,0.9677,1797.0,0.0,0.0,131522,2630,23,23,131522,130535,54.6116
45,2250.0,273,27,0.177696,0.105246,0.005229,0.543926,311.4889,99.25,99.10,100.00,4.76,273,0.9724,1797.0,0.0,0.0,134291,2685,23,23,134291,133279,48.5111
46,2300.0,261,39,0.164904,0.102563,0.002097,0.518696,316.9601,98.75,73.94,100.00,4.76,261,0.9760,1797.0,0.0,0.0,136962,2739,24,20,136962,135254,43.0399
47,2350.0,255,45,0.146707,0.102654,0.000385,0.506186,322.5897,98.72,97.22,100.00,4.76,255,0.9794,1797.0,0.0,0.0,139548,2790,24,20,139548,137768,37.4103
48,2400.0,237,63,0.137159,0.100606,0.002211,0.480695,327.4933,98.13,64.40,100.00,4.76,237,0.9815,1797.0,0.0,0.0,142006,2840,25,20,142006,139351,32.5067
49,2450.0,216,84,0.127514,0.099538,0.003116,0.471095,332.4570,98.05,92.87,100.00,4.76,216,0.9831,1797.0,0.0,0.0,144305,2886,25,20,144305,141486,27.5430
50,2500.0,203,97,0.115588,0.097495,0.000575,0.466549,336.5356,97.58,65.84,100.00,4.76,203,0.9853,1797.0,0.0,0.0,146413,2928,26,16,146413,142874,23.4644
51,2550.0,176,124,0.111027,0.095507,0.000278,0.436416,340.4592,97.48,89.30,100.00,4.76,176,0.9863,1797.0,0.0,0.0,148310,2966,26,16,148310,144568,19.5408
52,2600.0,153,147,0.107285,0.094450,0.000888,0.410426,343.5854,97.16,68.38,100.00,4.76,153,0.9872,1797.0,0.0,0.0,149967,2999,27,14,149967,145701,16.4146
53,2650.0,130,170,0.105973,0.093843,0.000322,0.398762,346.2235,97.02,82.34,100.00,4.76,130,0.9875,1797.0,2602.0,0.0,151377,3027,27,14,151377,146862,13.7765
54,2700.0,111,189,0.105751,0.095075,0.000142,0.374333,348.2617,96.70,57.26,100.00,4.76,111,0.9876,1797.0,2602.0,0.0,152582,3051,28,11,152582,147552,11.7383
55,2750.0,93,207,0.108396,0.093001,0.000177,0.368994,349.9192,96.60,81.12,100.00,4.76,93,0.9876,1797.0,2602.0,0.0,153567,3071,28,11,153567,148351,10.0808
56,2800.0,78,222,0.112992,0.091384,0.000666,0.363315,351.1866,96.45,67.38,100.00,4.76,78,0.9874,1797.0,2602.0,0.0,154364,3087,29,7,154364,148888,8.8134
57,2850.0,71,229,0.108851,0.088189,0.000127,0.352829,352.2716,96.39,82.68,100.00,4.76,71,0.9882,1797.0,2602.0,0.0,155028,3100,29,7,155028,149437,7.7284
58,2900.0,65,235,0.104812,0.085112,0.003811,0.341097,353.1872,96.26,59.38,100.00,4.76,65,0.9890,1797.0,2602.0,0.0,155609,3112,30,6,155609,149782,6.8128
59,2950.0,59,241,0.100060,0.081206,0.000411,0.310256,354.0965,96.21,83.49,100.00,4.76,59,0.9899,1797.0,2602.0,0.0,156142,3122,30,6,156142,150227,5.9035
60,3000.0,54,246,0.095482,0.077986,0.001181,0.290071,354.8440,96.10,58.24,100.00,4.76,54,0.9907,1797.0,2602.0,0.0,156609,3132,31,4,156609,150499,5.1560
61,3050.0,48,252,0.093107,0.073943,0.007027,0.284774,355.5308,96.06,80.98,100.00,4.76,48,0.9912,1797.0,2602.0,0.0,157019,3140,31,4,157019,150831,4.4692
62,3100.0,45,255,0.085850,0.071183,0.007027,0.274071,356.1368,95.97,56.25,100.00,4.76,45,0.9920,1797.0,2602.0,0.0,157387,3147,32,4,157387,151038,3.8632
63,3150.0,44,256,0.075089,0.065846,0.001350,0.236501,356.6961,95.94,84.21,100.00,4.76,44,0.9932,1797.0,2602.0,0.0,157729,3154,32,4,157729,151326,3.3039
64,3200.0,39,261,0.071516,0.060856,0.000202,0.226755,357.2109,95.88,67.09,100.00,4.76,39,0.9937,1797.0,2602.0,0.0,158045,3160,33,4,158045,151538,2.7891
65,3250.0,34,266,0.067593,0.055701,0.007027,0.204267,357.7018,95.88,93.01,100.00,4.76,34,0.9941,1797.0,2602.0,0.0,158317,3166,33,4,158317,151791,2.2982
66,3300.0,31,269,0.062238,0.050560,0.000721,0.197041,358.0706,95.85,73.54,100.00,4.76,31,0.9946,1797.0,2602.0,0.0,158540,3170,34,3,158540,151955,1.9294
