# FDQN-TE+ Topology Export | round=42
NodeId,X,Y,ClusterId,IsClusterHead,Energy,EnergyNorm,DistToSink,PEPMRisk,IsAlive,TxCount,ReclusterCount,Fitness
0,884.16,393.29,261,0,0.221853,0.1849,398.70,0.9772,1,420,1,0.4282
1,166.90,110.61,12,0,0.153266,0.1277,512.42,0.9884,1,420,2,0.3974
2,302.58,411.06,226,0,0.280194,0.2335,216.53,0.9570,1,420,0,0.4606
3,375.86,578.08,202,0,0.412964,0.3441,146.65,0.8609,1,420,0,0.5367
4,181.19,213.28,14,0,0.079953,0.0666,428.78,0.9944,1,420,2,0.3686
5,86.25,276.32,150,0,0.188075,0.1567,470.34,0.9838,1,420,2,0.4131
6,725.79,228.69,95,0,0.087237,0.0727,352.97,0.9940,1,420,0,0.3731
7,852.51,703.45,122,0,0.027740,0.0231,407.01,0.9967,1,420,0,0.3483
8,173.41,221.53,14,0,0.125445,0.1045,429.20,0.9912,1,420,3,0.3880
9,934.28,760.56,122,0,0.000405,0.0003,506.45,0.9975,1,420,0,0.3335
10,582.55,878.12,139,0,0.364317,0.3036,387.03,0.9129,1,420,0,0.4899
11,579.66,131.16,11,1,0.336537,0.2804,377.35,0.9325,1,420,1,0.4788
12,416.80,353.52,12,1,0.378604,0.3155,168.46,0.9006,1,420,1,0.5192
13,781.97,63.13,11,0,0.115647,0.0964,519.96,0.9921,1,420,0,0.3814
14,414.26,228.36,14,1,0.435384,0.3628,284.85,0.8378,1,420,1,0.5416
15,895.39,594.08,122,0,0.229251,0.1910,406.43,0.9757,1,420,0,0.4313
16,411.64,239.77,14,0,0.239533,0.1996,274.83,0.9703,1,420,0,0.4407
17,668.97,148.67,95,0,0.079829,0.0665,389.85,0.9935,1,420,0,0.3697
18,991.59,744.26,0,0,0.000000,0.0000,548.93,0.9975,0,391,0,0.3414
19,252.03,85.42,252,0,0.196075,0.1634,483.08,0.9823,1,420,1,0.4144
20,69.57,997.26,0,0,0.000000,0.0000,657.68,0.9975,0,394,4,0.2753
21,722.81,133.28,95,0,0.045327,0.0378,429.10,0.9961,1,420,0,0.3544
22,802.07,73.93,261,0,0.156225,0.1302,522.28,0.9881,1,420,1,0.3982
23,486.43,987.76,117,0,0.175652,0.1464,487.95,0.9857,1,420,2,0.4079
24,920.83,987.94,62,0,0.214543,0.1788,644.35,0.9789,1,420,1,0.3382
25,320.38,332.64,226,0,0.234360,0.1953,245.51,0.9746,1,420,2,0.4404
26,768.57,441.02,260,0,0.150053,0.1250,274.97,0.9887,1,420,0,0.4030
27,985.07,646.22,122,0,0.003400,0.0028,506.63,0.9974,1,420,1,0.3346
28,357.06,823.21,142,0,0.077264,0.0644,353.40,0.9938,1,420,0,0.3717
29,97.10,873.83,0,0,0.000000,0.0000,549.61,0.9975,0,339,0,0.3498
30,917.99,899.88,147,0,0.039614,0.0330,578.46,0.9963,1,420,1,0.3256
31,802.95,345.05,261,0,0.203947,0.1700,340.27,0.9810,1,420,0,0.4240
32,548.75,771.60,114,0,0.454965,0.3791,275.95,0.8090,1,420,0,0.5513
33,841.48,186.52,95,0,0.055688,0.0464,463.55,0.9956,1,420,0,0.3576
34,411.75,320.78,12,0,0.422982,0.3525,199.77,0.8533,1,420,1,0.5394
35,495.96,520.45,113,0,0.541240,0.4510,20.85,0.6419,1,420,1,0.6011
36,741.25,592.79,62,0,0.266504,0.2221,258.48,0.9649,1,420,0,0.4527
37,521.19,848.70,139,0,0.408771,0.3406,349.34,0.8708,1,420,1,0.5274
38,983.54,349.94,261,0,0.029166,0.0243,506.29,0.9966,1,420,1,0.3456
39,239.51,417.78,249,0,0.234326,0.1953,273.15,0.9747,1,420,0,0.4396
40,85.23,524.65,153,0,0.268992,0.2242,415.50,0.9642,1,420,5,0.4485
41,678.12,638.72,117,0,0.205971,0.1716,225.77,0.9806,1,420,0,0.4280
42,661.51,231.58,260,0,0.170075,0.1417,313.26,0.9865,1,420,0,0.4111
43,780.04,767.84,147,0,0.314237,0.2619,387.50,0.9454,1,420,1,0.4693
44,543.04,777.60,139,0,0.439696,0.3664,280.91,0.8310,1,420,0,0.5439
45,517.07,328.62,12,0,0.370427,0.3087,172.23,0.9016,1,420,3,0.5154
46,176.12,369.78,150,0,0.106890,0.0891,349.08,0.9928,1,420,0,0.3839
47,391.23,796.51,142,0,0.173126,0.1443,315.83,0.9861,1,420,0,0.4124
48,640.48,857.39,0,0,0.000000,0.0000,384.01,0.9974,0,420,0,0.4792
49,732.27,130.51,95,0,0.047229,0.0394,436.43,0.9960,1,420,0,0.3556
50,310.94,878.39,202,0,0.182325,0.1519,422.99,0.9847,1,420,0,0.4122
51,484.55,788.85,114,0,0.334330,0.2786,289.26,0.9339,1,420,0,0.4805
52,457.92,905.44,117,0,0.257794,0.2148,407.62,0.9679,1,420,0,0.4439
53,22.84,527.34,249,0,0.155047,0.1292,477.94,0.9882,1,420,1,0.3996
54,149.79,18.56,252,0,0.055129,0.0459,595.34,0.9956,1,420,5,0.3536
55,8.66,762.44,0,0,0.000000,0.0000,557.03,0.9975,0,382,1,0.3339
56,192.67,176.53,12,0,0.161927,0.1349,446.19,0.9873,1,420,2,0.4017
57,543.03,368.60,12,0,0.372594,0.3105,138.27,0.9062,1,420,2,0.5173
58,715.21,364.91,260,0,0.260603,0.2172,254.10,0.9670,1,420,0,0.4512
59,223.11,172.94,0,0,0.000000,0.0000,428.53,0.9975,0,402,2,0.3386
60,988.55,174.69,0,0,0.000000,0.0000,586.95,0.9975,0,345,2,0.3344
61,340.06,530.98,202,0,0.385529,0.3213,162.91,0.8945,1,420,0,0.5224
62,647.15,536.04,62,1,0.329761,0.2748,151.50,0.9366,1,420,0,0.4841
63,138.02,423.66,150,0,0.098635,0.0822,369.95,0.9933,1,420,1,0.3799
64,487.40,941.23,114,0,0.293933,0.2449,441.41,0.9545,1,420,0,0.4582
65,766.77,990.98,0,0,0.000000,0.0000,558.77,0.9975,0,368,2,0.3362
66,385.48,178.19,14,0,0.168376,0.1403,341.58,0.9867,1,420,1,0.4096
67,147.99,690.36,67,1,0.335354,0.2795,400.18,0.9335,1,420,0,0.4764
68,106.15,657.74,67,0,0.311626,0.2597,424.27,0.9465,1,420,2,0.4654
69,131.92,991.06,113,0,0.173169,0.1443,613.69,0.9861,1,420,2,0.3008
70,746.37,761.55,147,0,0.069592,0.0580,359.31,0.9950,1,420,0,0.3683
71,973.80,92.21,0,0,0.000000,0.0000,625.12,0.9975,0,374,3,0.3382
72,505.62,726.32,114,0,0.517012,0.4308,226.39,0.6946,1,420,0,0.5822
73,539.74,973.85,114,0,0.118751,0.0990,475.52,0.9918,1,420,1,0.3844
74,833.74,805.36,122,0,0.160561,0.1338,452.36,0.9876,1,420,0,0.4026
75,253.00,921.34,0,0,0.000000,0.0000,488.41,0.9975,0,410,0,0.3463
76,979.67,487.16,260,0,0.142368,0.1186,479.84,0.9897,1,420,1,0.3937
77,495.38,546.56,113,0,0.627985,0.5233,46.79,0.4293,1,420,1,0.6428
78,823.96,772.77,147,0,0.272053,0.2267,423.50,0.9635,1,420,1,0.4497
79,151.90,676.56,67,0,0.289013,0.2408,390.32,0.9567,1,420,0,0.4565
80,301.60,253.70,14,0,0.108069,0.0901,316.27,0.9926,1,420,1,0.3845
81,24.33,923.48,202,0,0.219744,0.1831,636.87,0.9779,1,420,3,0.3220
82,360.99,785.28,142,0,0.174650,0.1455,317.35,0.9859,1,420,0,0.4132
83,445.59,559.95,142,0,0.574049,0.4784,80.96,0.5627,1,420,0,0.6157
84,641.87,934.71,139,0,0.147089,0.1226,457.27,0.9891,1,420,0,0.3967
85,680.58,464.23,257,0,0.327211,0.2727,184.09,0.9377,1,420,0,0.4816
86,50.97,588.44,153,0,0.228683,0.1906,457.65,0.9758,1,420,1,0.4301
87,996.51,459.04,260,0,0.112708,0.0939,498.20,0.9923,1,420,2,0.3809
88,848.88,900.04,0,0,0.000000,0.0000,530.80,0.9975,0,376,0,0.3505
89,471.99,950.30,117,0,0.259850,0.2165,451.17,0.9675,1,420,1,0.4438
90,780.12,122.49,95,0,0.236577,0.1971,470.09,0.9739,1,420,2,0.4330
91,123.89,719.11,67,0,0.309912,0.2583,435.28,0.9476,1,420,0,0.4646
92,123.20,443.31,150,0,0.057199,0.0477,381.04,0.9956,1,420,1,0.3619
93,33.86,627.56,249,0,0.230821,0.1924,483.28,0.9752,1,420,1,0.4304
94,481.97,181.54,252,0,0.275399,0.2295,318.97,0.9623,1,420,0,0.4548
95,752.80,162.36,95,1,0.413254,0.3444,421.79,0.8646,1,420,0,0.5242
96,18.93,618.04,249,0,0.226539,0.1888,495.34,0.9762,1,420,1,0.4283
97,593.13,374.65,257,0,0.453756,0.3781,156.16,0.8110,1,420,1,0.5547
98,894.97,75.64,260,0,0.307641,0.2564,579.72,0.9482,1,420,5,0.4589
99,813.88,413.71,261,0,0.102527,0.0854,325.53,0.9929,1,420,0,0.3827
100,114.23,254.79,150,0,0.205421,0.1712,457.11,0.9807,1,420,2,0.4206
101,450.29,445.22,12,0,0.527863,0.4399,73.97,0.6719,1,420,6,0.5938
102,921.81,338.41,261,0,0.219326,0.1828,451.70,0.9779,1,420,1,0.4260
103,88.88,659.25,67,0,0.281819,0.2348,440.89,0.9596,1,420,6,0.4526
104,943.15,394.31,261,0,0.079175,0.0660,455.58,0.9945,1,420,1,0.3675
105,657.55,909.75,139,0,0.195864,0.1632,439.00,0.9825,1,420,0,0.4174
106,845.83,629.42,122,0,0.105979,0.0883,369.25,0.9928,1,420,0,0.3823
107,223.94,718.68,67,0,0.077412,0.0645,352.18,0.9946,1,420,0,0.3693
108,24.26,660.34,153,0,0.206122,0.1718,502.03,0.9806,1,420,1,0.4197
109,363.47,736.95,142,0,0.201535,0.1679,273.47,0.9816,1,420,0,0.4253
110,526.53,193.87,252,0,0.314066,0.2617,307.28,0.9454,1,420,0,0.4712
111,231.30,835.22,142,0,0.136040,0.1134,429.62,0.9903,1,420,1,0.3917
112,937.28,953.76,62,0,0.256454,0.2137,630.17,0.9683,1,420,1,0.3549
113,500.06,515.74,113,1,0.640855,0.5340,15.74,0.3983,1,420,1,0.6490
114,515.02,700.47,114,1,0.519743,0.4331,201.04,0.6883,1,420,1,0.5834
115,506.39,132.20,11,0,0.087977,0.0733,367.86,0.9930,1,420,0,0.3755
116,819.77,7.02,0,0,0.000000,0.0000,587.61,0.9975,0,391,1,0.3366
117,632.80,680.04,117,1,0.402369,0.3353,223.72,0.8771,1,420,0,0.5275
118,864.52,35.63,11,0,0.325333,0.2711,590.35,0.9388,1,420,3,0.4444
119,941.66,614.43,122,0,0.066691,0.0556,456.24,0.9951,1,420,0,0.3622
120,839.43,686.29,122,0,0.306131,0.2551,387.19,0.9494,1,420,0,0.4648
121,125.49,942.47,202,0,0.241700,0.2014,579.69,0.9727,1,420,1,0.3473
122,889.06,699.07,122,1,0.323256,0.2694,437.03,0.9404,1,420,0,0.4707
123,191.68,580.72,153,0,0.176796,0.1473,318.71,0.9856,1,420,0,0.4134
124,48.76,651.47,67,0,0.254115,0.2118,475.98,0.9689,1,420,2,0.4403
125,209.39,15.93,0,0,0.000000,0.0000,564.60,0.9975,0,401,3,0.3311
126,69.95,406.34,150,0,0.253654,0.2114,440.13,0.9691,1,420,0,0.4411
127,228.51,706.59,67,0,0.132623,0.1105,341.16,0.9907,1,420,0,0.3926
128,4.43,216.14,226,0,0.055461,0.0462,571.11,0.9956,1,420,9,0.3547
129,849.79,488.41,62,0,0.284569,0.2371,349.98,0.9583,1,420,0,0.4562
